
2.6.32-pe
	9212 1
	9246 1
	9257 1
	9258 2
	9269 2
	9280 1
	9292 1
	9303 1
	9338 1
	9349 1
	9361 2
	9453 1
	9464 1
	9488 1
	9511 1
	9522 1
	9556 1
	9614 2
	9694 1
	15847 1

2.6.39-pe
	0 0
	8510 1
	8533 1
	8556 2
	8567 1
	8590 1
	8602 4
	8613 1
	8614 1
	8625 8
	8636 5
	8637 2
	8648 9
	8659 7
	8660 2
	8671 12
	8682 9
	8683 9
	8694 20
	8705 17
	8706 8
	8717 38
	8728 15
	8729 11
	8740 32
	8751 11
	8752 18
	8763 44
	8774 22
	8775 22
	8786 36
	8797 27
	8798 28
	8809 49
	8820 30
	8821 10
	8832 44
	8843 27
	8844 27
	8855 35
	8866 23
	8867 26
	8878 35
	8889 19
	8890 17
	8901 25
	8912 15
	8913 12
	8924 21
	8935 10
	8936 9
	8947 24
	8958 11
	8959 5
	8970 5
	8981 5
	8982 4
	8993 11
	9004 4
	9005 5
	9016 8
	9027 2
	9028 5
	9039 4
	9051 2
	9062 3
	9074 1
	9085 8
	9096 2
	9097 3
	9108 4
	9119 4
	9120 3
	9131 3
	9142 2
	9143 1
	9154 5
	9165 2
	9166 4
	9177 5
	9188 1
	9189 1
	9200 1
	9212 3
	9223 1
	9234 1
	9246 2
	9258 1
	9269 2
	9281 1
	9326 1
	9361 1
	9396 1
	9453 1
	9626 1
	9901 1
	27680 1

3.0-pe
	0 0
	9062 1
	9073 1
	9085 1
	9108 6
	9119 3
	9120 3
	9131 6
	9142 12
	9143 7
	9154 20
	9165 11
	9166 9
	9177 27
	9188 25
	9189 17
	9200 37
	9211 18
	9212 29
	9223 51
	9234 38
	9235 25
	9246 67
	9257 37
	9258 28
	9269 62
	9280 34
	9281 35
	9292 50
	9303 21
	9304 21
	9315 56
	9326 18
	9327 20
	9338 34
	9349 25
	9350 15
	9361 30
	9372 15
	9373 7
	9384 20
	9395 5
	9396 1
	9407 8
	9418 5
	9419 6
	9430 6
	9441 7
	9442 3
	9453 4
	9465 1
	9476 2
	9488 2
	9499 5
	9511 1
	9522 3
	9533 1
	9534 1
	9568 1
	9591 1
	9614 1
	9626 2
	9637 2
	9649 1
	9694 1
	9706 1
	9717 1
	9729 1
	9741 1
	9764 1
	9787 1
	9901 1
	9936 1
	10292 1
	16123 1
	17457 1
	37283 1

3.1-pe
	0 0
	10086 1
	10097 1
	10108 1
	10109 1
	10120 4
	10131 3
	10132 2
	10143 13
	10154 6
	10155 4
	10166 9
	10177 9
	10178 6
	10189 26
	10200 15
	10201 9
	10212 30
	10223 11
	10224 23
	10235 36
	10246 15
	10247 14
	10258 47
	10269 21
	10270 28
	10281 51
	10292 20
	10293 31
	10304 57
	10315 28
	10316 20
	10327 48
	10338 10
	10339 14
	10350 44
	10361 15
	10362 13
	10373 20
	10384 11
	10385 13
	10396 13
	10407 11
	10408 8
	10419 8
	10430 8
	10431 4
	10442 8
	10453 2
	10454 3
	10465 8
	10476 6
	10477 7
	10488 10
	10499 8
	10500 3
	10511 19
	10522 7
	10523 12
	10534 18
	10545 7
	10546 3
	10557 17
	10568 6
	10569 6
	10580 9
	10591 10
	10592 6
	10603 13
	10614 6
	10615 5
	10626 5
	10637 3
	10638 3
	10649 4
	10660 1
	10672 6
	10683 1
	10684 4
	10706 2
	10729 1
	10764 1
	10775 1
	10798 1
	10799 1
	10810 2
	10833 1
	10844 1
	10856 1
	10879 1
	10959 1
	11063 1
	30360 1
