
2.6.32-pe
	10925 2
	10960 1
	10994 2
	11178 1
	11190 1
	43953 1
	241535 1
	314744 1

2.6.35-pe
	0 0
	8038 2
	8050 2
	8062 1
	8073 1
	8084 3
	8085 1
	8096 7
	8107 6
	8108 3
	8119 12
	8130 8
	8131 10
	8142 29
	8153 15
	8154 18
	8165 30
	8176 17
	8177 17
	8188 47
	8199 27
	8200 30
	8211 63
	8222 41
	8223 42
	8234 80
	8245 37
	8246 23
	8257 70
	8268 27
	8269 23
	8280 44
	8291 24
	8292 18
	8303 47
	8314 20
	8315 15
	8326 34
	8337 15
	8338 11
	8349 27
	8360 7
	8361 5
	8372 9
	8383 3
	8384 4
	8395 9
	8406 5
	8407 2
	8418 2
	8429 2
	8441 4
	8452 1
	8453 4
	8464 1
	8487 2
	8498 1
	8499 2
	8510 1
	8544 1
	8545 1
	8556 1
	8567 1
	8568 1
	8579 1
	8602 1
